"ID_BANDERA","ID_LOCAL","FECHA","MONTO","CANTIDAD","FERIADO","DIA_1","DIA_2","DIA_3","DIA_4","DIA_5","DIA_6","DIA_7","MES_1","MES_2","MES_3","MES_4","MES_5","MES_6","MES_7","MES_8","MES_9","MES_10","MES_11","MES_12"
"B",2,2024-02-15,22900,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-06,9605,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-05,11450,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-11,32504,30,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-31,14885,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-07,10749.9994,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-03,40020,36,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-04,20010,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-24,15730,14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-18,13939.9994,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-26,33994.9996,31,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-22,27725,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-08,11449.999,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-11,21699.9982,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-01-16,6869.9996,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-20,6870,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-29,6870,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-15,6869.9994,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-18,24985,23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-02,37730,34,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-02,37730,34,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",1,2024-02-05,11150,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-16,23448.9994,20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-31,17515,17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-12,16275,15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-06,27324.9994,24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-24,27480,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-30,13290,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-26,7124,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-05,24740,22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-27,39775,35,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-12,48429.999,44,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-01-14,17419.9997,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B",2,2024-02-19,5425,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
